"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"402","RT @TheTinyDiplomat: I am all alone at my school, but I know I am not alone. 
#nationalschoolwalkout #columbine https://t.co/1zozqfKIYw",FALSE,0,NA,2018-04-21 15:00:39,FALSE,NA,"987707695070359553",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","elizabethroths",9604,TRUE,FALSE,NA,NA
"403","RT @TheTinyDiplomat: I am all alone at my school, but I know I am not alone. 
#nationalschoolwalkout #columbine https://t.co/1zozqfKIYw",FALSE,0,NA,2018-04-21 15:00:39,FALSE,NA,"987707692046213121",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","sabulosaa",9604,TRUE,FALSE,NA,NA
"404","RT @biracialbookwrm: My daughter was the only one to walk out at school today. She had a couple tears that no one else caMe with her. 
A be",FALSE,0,NA,2018-04-21 15:00:39,FALSE,NA,"987707691794649089",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Niya_LovesOnika",3861,TRUE,FALSE,NA,NA
"405","RT @TheTinyDiplomat: I am all alone at my school, but I know I am not alone. 
#nationalschoolwalkout #columbine https://t.co/1zozqfKIYw",FALSE,0,NA,2018-04-21 15:00:35,FALSE,NA,"987707676997144576",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","joclep",9604,TRUE,FALSE,NA,NA
"406","RT @TheTinyDiplomat: I am all alone at my school, but I know I am not alone. 
#nationalschoolwalkout #columbine https://t.co/1zozqfKIYw",FALSE,0,NA,2018-04-21 15:00:35,FALSE,NA,"987707674723782657",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","zbhoy",9604,TRUE,FALSE,NA,NA
"407","RT @TheTinyDiplomat: I am all alone at my school, but I know I am not alone. 
#nationalschoolwalkout #columbine https://t.co/1zozqfKIYw",FALSE,0,NA,2018-04-21 15:00:34,FALSE,NA,"987707672957878272",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","gio_rebel",9604,TRUE,FALSE,NA,NA
"408","RT @biracialbookwrm: My daughter was the only one to walk out at school today. She had a couple tears that no one else caMe with her. 
A be",FALSE,0,NA,2018-04-21 15:00:34,FALSE,NA,"987707671884193794",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","OLRefugeMonksCA",3861,TRUE,FALSE,NA,NA
"409","RT @TheTinyDiplomat: I am all alone at my school, but I know I am not alone. 
#nationalschoolwalkout #columbine https://t.co/1zozqfKIYw",FALSE,0,NA,2018-04-21 15:00:33,FALSE,NA,"987707667970973697",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","MARKSGRANDMA",9604,TRUE,FALSE,NA,NA
"410","RT @TheTinyDiplomat: I am all alone at my school, but I know I am not alone. 
#nationalschoolwalkout #columbine https://t.co/1zozqfKIYw",FALSE,0,NA,2018-04-21 15:00:33,FALSE,NA,"987707667337699331",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","mr_ghughes",9604,TRUE,FALSE,NA,NA
"411","RT @TheTinyDiplomat: I am all alone at my school, but I know I am not alone. 
#nationalschoolwalkout #columbine https://t.co/1zozqfKIYw",FALSE,0,NA,2018-04-21 15:00:31,FALSE,NA,"987707661528502273",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","mary_sextonx",9604,TRUE,FALSE,NA,NA
"412","RT @biracialbookwrm: My daughter was the only one to walk out at school today. She had a couple tears that no one else caMe with her. 
A be",FALSE,0,NA,2018-04-21 15:00:31,FALSE,NA,"987707661234966528",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","DMVAFRICAN",3861,TRUE,FALSE,NA,NA
"413","RT @biracialbookwrm: My daughter was the only one to walk out at school today. She had a couple tears that no one else caMe with her. 
A be",FALSE,0,NA,2018-04-21 15:00:28,FALSE,NA,"987707649046302720",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","highonbree",3861,TRUE,FALSE,NA,NA
